SMILES,pred_IC50,pIC50,P-gp_substrate,P-gp_I_inhibitor,P-gp_II_inhibitor,CYP2D6_substrate,CYP3A4_substrate,CYP1A2_inhibitor,CYP2C19_inhibitor,CYP2C9_inhibitor,AMES_toxicity,hERG_II_inhibitor,Hepatotoxicity,Skin_Sensitisation,sa_score
COc1cc(C(=O)c2cnc(-c3c[nH]c4ccccc34)[nH]2)cc(OC)c1OC,18.30975284435893,7.7373175180170115,0,0,0,0,0,0,0,0,0,0,0,0,2.471526006201124
NC(=O)Nc1sc2c(c1C(N)=O)CCc1c-2cnn1Cc1ccc(F)cc1,257.85312748244843,6.588627596698094,0,0,0,0,0,0,0,0,0,0,0,0,2.6612239375465236
NS(=O)(=O)Cc1ccc(-c2cc3ccncc3cc2OC2CCNCC2)cc1,311.6343781774196,6.506354638839011,0,0,0,0,0,0,0,0,0,0,0,0,2.5547340403891585
COc1cc(-c2ccc3c(c2)Nc2ccc(CC(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,61.479477463909674,7.211269832380897,0,0,0,0,0,0,0,0,0,0,0,0,2.653217040390036
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1F,0.32051152726147314,9.49415634637598,0,0,0,0,0,0,0,0,0,0,0,0,3.5411815858417874
COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1,8.762036243170357,8.0573949547442,0,0,0,0,0,0,0,0,0,0,0,0,2.0071497742783233
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C=C(C(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,1.0000122996851406,8.999994658347465,0,0,0,0,0,0,0,0,0,0,0,0,4.285135235932396
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,4.394008218259898,8.357139135139317,0,0,0,0,0,0,0,0,0,0,0,0,2.3823033356175074
NCC(NC(=O)c1cc(C2CC2)c(-c2ccnc3[nH]ccc23)s1)c1ccccc1,10.349658770210311,7.9850739687247145,0,0,0,0,0,0,0,0,0,0,0,0,3.1706987616713542
c1ccc2c(c1)N(c1ncnc3[nH]ccc13)CC21CCNCC1,8.067063683032817,8.093284514634998,0,0,0,0,0,0,0,0,0,0,0,0,3.236007392388175
N[C@H](CNc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,22.400504816227176,7.649742194325148,0,0,0,0,0,0,0,0,0,0,0,0,3.0057072791594077
FC(F)c1cncc(-c2ccc3ncc4nnc(C5[C@H]6CCC[C@@H]56)n4c3c2)c1,50.75418198256786,7.294528167461537,0,0,0,0,0,0,0,0,0,0,0,0,3.9288009285276457
CNC1=Nc2cc(-c3cccc(CN)c3)sc2N2C(C)=CNC12,15.988243615364786,7.796199242948674,0,0,0,0,0,0,0,0,0,0,0,0,3.847079207529557
NC(=O)Nc1sc(C#Cc2ccccc2F)cc1C(N)=O,437.4007330747549,6.359120493429031,0,0,0,0,0,0,0,0,0,0,0,0,2.629323991784954
CC1=C(CO)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,140.20270288260951,6.853243613789563,0,0,0,0,0,0,0,0,0,0,0,0,4.386681142298718
COc1cc2c(cc1OC)[C@]1(O)C(=O)c3ccc4c(c3O[C@@H]1CO2)C=CC(C)(C)O4,69.35112980084376,7.158946459431715,0,0,0,0,0,0,0,0,0,0,0,0,3.8530479678445353
N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,30.51964108193075,7.515420578091125,0,0,0,0,0,0,0,0,0,0,0,0,3.178703370453227
CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,3.890379307267334,8.410008053424331,0,0,0,0,0,0,0,0,0,0,0,0,2.498216515255674
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,53.063707894768925,7.275202406408443,0,0,0,0,0,0,0,0,0,0,0,0,2.4438867648336817
